	<=5 cm	>5-10 cm	>10-20 cm	>20-30 cm	>30-40 cm	>40 cm	< 5 years	5-10 years	10-15 years	> 15 years	NA	fusiform	compressiform	hemispherical	sagitiform	anguilliform	indifferent	rheophil	oligorheophil	stagnophil	omnivor	invertivor	piscivor	filter-feeder	herbivor	meso-eurytherm	oligo-stenotherm	non-migrating	potamodrom	katadrom	kurz 	mittel 	lang	non-migrating	lithophil	phytophil	psammophil	speleophil	pelagophil	ostracophil	<=1,000	>1,000-10,000	>10,000-100,000	>100,000-1,000,000	>1,000,000	<1	1	>1	1	2+	male and female	male	otherwise protected	none	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Frühjahr	Sommer	Herbst	Winter	all-season	spawning season	none	yes	no	Indigenous	Neobiota	critically endangered	endangered	vulnerable	near threatened	no threat evident	data deficient	critically endangered	endangered	vulnerable	near threatened	no threat evident	data deficient
Chalcalburnus.chalcoides.mento	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Chondrostoma.nasus	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Cottus.gobio	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0,5	0,5	0	1	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Cyprinus.carpio	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0,5	0,5	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
Esox.lucius	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Eudontomyzon.vladykovi	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gasterosteus.aculeatus	0	0	1	0	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0,5	0,5	0	1	0	1	0	0	0	0	0,25	0,25	0,25	0,25	0	0	0	0	0	0	0,75	0,25	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Gobio.gobio	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0,5	0,5	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0,5	0,5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Gymnocephalus.baloni	0	0	1	0	0	0	0	0	0	0	1	0,5	0,5	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0						0	1	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Gymnocephalus.cernuus	0	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Gymnocephalus.schraetser	0	0	0	1	0	0	0	0	1	0	0	0,5	0,5	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Hucho.hucho	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Lampetra.planeri	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0
Leucaspius.delineatus	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Leuciscus.idus	0	0	0	0	0	1	0	0	0	1	0	0,5	0,5	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Leuciscus.leuciscus	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Lepomis.gibbosus	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Lota.lota	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	1	0	1	0	0	1	0	0	0,5	0	0	0	0,5	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0,25	0,25	0,25	0	0	0	0	0	0	0	0	0,25	0,333333333	0	0	0,666666667	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Misgurnus.fossilis	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Ponticola.kessleri	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0,5	0,5	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Neogobius.melanostomus	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0,5	0,5	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Oncorhynchus.mykiss	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0				0	1	0	0	0	1	0,166666667	0,166666667	0,166666667	0	0	0	0	0	0	0,166666667	0,166666667	0,166666667	0,166666667	0	0,333333333	0,5	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Perca.fluviatilis	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Phoxinus.phoxinus	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0
