FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Weindis	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Bergbaubetrieb	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaech	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Bahnverkehr	%Flugverkehr	%Platz	%Schiffsverkehr	%Straﬂenverkehr	%Weg	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
NR320	0	11.13069405	0.643389273	25.2958211	57.11046269	0	0.755800187	2.662293757	0	0	0	0	0	2.038908235	0	0.155126089	0	0	0.207504616	0	18.95923401	0.778035886	26.31216869	51.21464693	0	0.153493456	1.804477505	0.042685106	0	0	0	0	0.735258409	0	0	0	0	0	0	0.600665997	5.439907877	0.03146233	0	1.046892007	0.692425445	0.105526011	4.839543825	13.21517995	5.142455133	0	0	58.83742529	0	2.43702934	0.256243835	0	0.031781845	0	4.305966186	1.556007116	1.065144059	0	0.396343754
NR337	0	8.213945244	0	11.72277878	66.1238348	0	0	0	0	0	0	0	0	2.095157767	0	1.509001298	0	0	10.33528211	0	19.20724898	0	3.332355613	75.97577594	0	0	0.736915486	0	0	0	0	0	0	0	0	0	0	0.747703984	0	0	3.313129561	0	0	9.00042754	0	0	5.320917144	12.96315576	11.2326519	0	0.168830579	29.39002653	0	6.959123672	1.082854896	0	0.19651102	0	3.966790912	2.119372659	12.87995129	0	1.406256535
NR233	0	7.598662883	1.728130683	15.87210341	69.5642315	0.048006382	0.103284946	1.829617074	1.586460226	0	0	0	0.093504997	1.101469634	0	0.075007332	0.053105574	0.104444082	0.241971269	0	9.367103916	0.377655642	14.60592974	70.25620793	0.048735479	0.234404679	1.529984611	1.960428541	0.211528308	0	0	0.045883698	0.718017874	0	0.235763465	0.018656489	0.07137834	0.318321287	0	0.474684919	2.249143877	0.031127721	0	1.80953176	1.576223651	0.088174103	4.011489292	11.64766586	7.01640909	0	0	41.61157301	0	4.78931464	0.744503075	0	0.273464174	0.000144072	4.603511219	1.527316668	1.727403749	0	15.81831912
NR282	0	9.899650092	0	1.880290404	84.54476607	0	0	0.444235121	0	0	0	0	0	0	0	0.103824824	0	0	3.127233488	0	3.788380411	0	6.480188032	86.69981152	0	0	3.031620038	0	0	0	0	0	0	0	0	0	0	0	0	0.172658511	2.890493077	0.013854389	0	2.187653927	1.749467573	0	4.950510563	39.46894551	7.173060115	0	0	27.89730566	0	3.469485124	0.420092545	0	0.228173837	0	5.073212591	1.84804751	0.242535398	0	2.214503671
NR348	0	9.008767209	3.971938334	22.45003365	42.03772574	0.038528805	0	4.32404859	0.712153003	0	0	0	0	0	0	0	0	16.18056868	1.276235992	0	12.60811339	3.323051716	15.25652619	42.70473284	0.015374005	0.348187988	4.379511392	1.941830423	0	0	0	0.04375756	0.360185852	0	0	0	18.1210403	0.897688348	0	0.313258186	1.782432288	0.037814472	0	3.72519089	1.333063833	0.101692011	6.500196906	37.36649873	8.653590678	0	0	18.3074446	0	3.234820027	1.021398476	0.380717319	0.17629577	0	3.007990806	1.587925889	11.31784564	0	1.151823477
NR134	0	2.210134602	0	10.68169513	85.94166963	0	0	1.095972934	0	0	0	0	0	0	0	0	0	0	0.070527706	0	3.566027528	0	10.46622587	85.00325059	0	0	0.964496003	0	0	0	0	0	0	0	0	0	0	0	0	2.806890594	10.78163516	0.003386183	0	3.550736129	4.150902019	0	11.46157889	10.49723307	6.310155991	0	0	33.3499537	0	4.320106917	1.226080729	0.017757268	1.561707278	0	7.344904275	0.802442947	0.020558798	0	1.793970042
NR229	0	0	0	1.793011001	98.206989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901501837	94.75126016	0	0	0	0	0	0	0	0	0	0	0	0	0	4.347238001	0	0.362420378	1.03313543	0.040146609	0	2.294199769	1.264619012	0	2.811366042	64.08739141	5.267136885	0	0.026652	9.281396398	0	4.049929466	1.067715871	0	0.259344065	0	3.301228425	1.354180824	0.400537887	0	3.098599531
NR275	0	7.874710032	0.026696692	5.442641537	83.38905547	0	0	2.863198581	0	0	0	0	0	0	0	0.115633584	0	0	0.288064105	0	11.40310449	0	5.385019862	78.55278634	0	0	3.962650335	0	0.009634737	0	0	0	0	0.376018304	0.003142597	0	0	0.307643334	0	0.131166107	2.475435013	0.009277165	0	1.42702843	0.285560047	0.243972041	1.869792428	25.73315241	5.323140149	0	0	52.22883408	0	3.889263632	0.039535028	0	0.047639754	0	3.565206636	1.105129131	0.194059628	0	1.431808322
NR286	0	3.13426105	0	4.411242621	89.23461267	0	0	2.689682391	0	0.096216101	0	0	0	0	0	0.017736945	0	0	0.416248217	0	4.713570035	0	4.144094095	88.07779348	0	0	2.614457263	0	0.097514347	0	0	0	0	0	0	0	0	0.352570778	0	1.692294731	3.033794444	0.00538014	0	3.129605804	3.719504349	0	4.524316266	13.06473539	5.919844228	0	0	40.42595785	0	8.513763978	1.955594626	0	0.429187172	0	6.244854052	1.123417314	1.382958457	0	4.834791189
NR303	0	7.381064962	0.070377103	12.93386935	73.93155308	0	0	3.607347272	0.446509358	0	0	0	0	1.47145487	0	0	0	0.015341286	0.142482714	0	10.2380542	0.006994945	14.06378436	71.46112826	0	0.088084638	2.947760625	0.308338677	0.103247906	0	0	0	0.403554263	0	0.007815119	0	0.015530752	0.355706263	0	0.166150766	2.878772669	0	0	0.959828618	0.417392444	0.002126834	1.803559722	16.47825422	6.493728431	0	0.043677868	62.80868408	0	2.023232975	0	0	0.008175186	0	2.887104555	1.30763822	0.458914745	0.004699232	1.258059439
NR319	0	5.007480513	0.528711978	12.02343131	80.50301574	0	0.355480891	0.748188909	0.134564284	0	0	0	0	0.093067291	0	0.117137318	0	0	0.488921769	0	8.498944293	0.943933819	11.55766008	76.66071895	0	0	1.052989253	0	0	0	0	0	0.298278078	0.412308313	0.380371242	0	0	0.194795973	0	0.099026647	2.550572038	0.053913566	0	1.417934788	0.144541664	0	2.964006731	20.82414858	5.819455732	0	0	57.42057127	0	3.025791263	0.185917394	0	0.001543454	0	2.925319712	1.666148337	0.11843741	0	0.782671409
NR322	0	8.686113823	1.097537871	21.97577665	59.85923992	0.125679819	1.093669535	2.559649858	1.601338123	0	0.087684977	0	0.219576962	1.194856874	0	0.095362596	0	1.372453752	0.031059235	0	10.40891897	0.491449962	21.68862317	58.60023028	0	0.635180537	2.907127767	0.796557898	0.161362069	0	0	0.219707521	1.772319415	0.090351138	0.096440061	0	1.286175394	0.845555818	0	0.031635354	2.890245904	0.002204274	0	1.056972363	0.061217613	0	0.726249804	24.53982682	6.473870974	0	0	54.56761424	0	2.491491869	0.314253517	0	0.010011785	0	2.084858277	1.865302276	2.071938184	0	0.812306749
NR336	0	0	0	0	94.46227702	0	5.537722983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.550029439	90.42690527	0	0	0	0	0	0	0	0	0	0	0	0	0	4.023065292	0	0	0.331613554	0	0	0.004553624	0.254043507	0	0.432776481	79.55460741	4.489050989	0	3.999672459	5.05229345	0	2.548767029	0	0	0	0	0.462418707	1.247483173	0.893022699	0	0.729696922
NR338	0	6.363604232	1.024765283	30.30401125	58.18921636	0.060598354	0.138730829	3.033252132	0.004298273	0	0	0	0	0.187356096	0	0	0	0	0.694167186	0	10.89988959	0.75365708	25.38823519	56.59037931	0	0.500634685	4.270902879	0.466863078	0	0	0	0	0.533112321	0	0.510872996	0	0	0.085452873	0	0.081936913	2.769925009	0.02312265	0.109889174	0.201868726	0.109408097	0.364924439	1.240067877	31.76895744	11.36698297	0	0.009670419	42.27066431	0	3.627306071	0	0	0.017589753	0	2.810651339	1.504614875	0.51296844	0	1.209451493
NR346	0	15.06136949	2.048331641	14.83816288	64.40129743	0	0	2.571241061	0	0	0	0	0	0	0	0	0	0	1.079597493	0	14.86768319	2.021541926	7.417935532	75.60742757	0	0	0.08541178	0	0	0	0	0	0	0	0	0	0	0	0	0	1.998577647	0	0	0.555680908	0	0	6.765813217	56.84791645	6.059053018	0	0	16.80502701	0	1.74995999	0	0	0.091366751	0	3.419196573	2.139491072	1.118634672	0	2.449282693
NR349	0	5.030711411	4.27121207	25.08991654	52.96122324	0.691827247	0	5.742885673	0	0	0	0	0	0	0	0	0	6.212223818	0	0	9.389531808	0	24.09808077	49.92435464	0	0	3.85368538	1.532972965	0	0	0	0	0	0	0	0	11.13375902	0.067615418	0	0.005012204	0.339242974	0	0	0.780746356	0.259774942	0	0.850359795	57.05168994	5.286257989	0	0	22.42691209	0	0.718510456	1.555368981	0	0.004742052	0	1.331187219	1.82608959	7.004309603	0	0.559795805
NR357	0	8.420540296	3.628438578	24.48547317	46.3502687	1.566798058	1.228364521	3.24026652	3.199427308	0	0	0	0	7.13367435	0	0.139022721	0	0	0.607725783	0	7.854333158	1.297725427	24.25663541	49.01496602	2.599456269	0.925476795	2.56502853	2.350014284	0	0	0	0	7.847363364	0	0.902319022	0.302360991	0	0.08432073	0	0.502385397	3.503756709	0.109599287	0	0.512691405	0.762846799	0.076757419	7.315965778	22.95465552	6.661314515	0.327078167	0	45.45763258	0	3.929700738	0.144837701	0	0.130021835	0	4.058287751	1.901760426	0.598889942	0	1.051818036
NR358	0	8.661910362	4.621322753	30.80465984	24.46780322	0	0	4.273901346	6.874919669	0	0	0	0	10.99252753	0	0.091586779	0	5.715766891	3.495601611	0	15.25893067	1.225528611	28.40095764	26.22190911	0	1.104561122	5.052107632	3.806252303	0	0	0	0	13.19000418	0	0	0	5.739748729	0	0	0.66025076	2.213127177	0	0	3.383957671	1.010237827	1.928833064	8.293198408	12.05059881	6.168868204	0.129345324	0	49.16146181	0.619348522	0.676827	1.265900268	0	0.09208506	0	6.298430742	1.190209406	3.881907176	0	0.975412764
