FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_mehrjaehrige_Graeser	%ivk07_unbekannt			%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% Flieﬂgewaesser	%Hafenbecken	% stehende_Gewaesser
AP021	0	51.19870181	27.4217644	333.568112	317.9047999	172.4991652	20.4724806	9.811241845	23.41772359	0	0	0	24.14237423	0	0.7619073	1.13619358	0	0	17.66553555			0	5.750959033	0.67410032	33.24786348	31.24134014	16.8683466	0.9515724	0.88013069	8.568883532	0.303305881	0	0.055009396	0	1.180892277	0	0.123840039	0	0	0.153756222	3.111700348	0	3.756122252	1.248614785	0	0.084127335	4.480813798	0.053452451	0	26.01059639	3.805001795	0	0	47.30609135	0	2.178132747	1.385182857	2.765921975	0	0.006961108	0.010758052	0.221318217	1.092163487	0	2.483041051
AP022	0	86.64005848	83.52391995	319.7605135	420.9716179	0	0	4.36771483	44.43712445	0	0	0	26.21664551	6.692935611	2.354460985	0	4.475680459	0	0.559328255			0	10.29657139	1.576435569	35.95114275	43.28360659	0	0	0.678410424	3.827608145	0	0	0	0	3.209174315	0.647510275	0	0	0.52954054	0	2.650379252	0	0.491795181	0.712958709	0	0	2.023318738	0.155281723	0	22.82621241	7.669659688	0	0	55.58701155	0	1.149370416	2.309574083	1.564809351	0	0.02300641	0	0	1.519362569	0	1.317259918
AP023	0	15.59403895	100.0570952	202.7407601	594.6491387	13.48423148	2.699053323	5.382053106	21.79369772	0	0	0.068108878	35.12782959	0	0.973053651	0	0	0	7.430939374			0	3.133147115	3.329815251	22.92389315	59.7396055	0.549474358	0.255640953	0.354808587	6.133932212	0.075090416	0	0	0.006815372	3.301684374	0.106491057	0.089601651	0	0	0	5.81738773	0	7.976852359	0.655085578	0	0.494976147	2.876149726	0.616069257	0	7.292113638	6.42836603	0	0	56.41979053	0	1.709368795	1.966479217	3.642271651	0	0.420598808	0	0	3.065437116	0	0.619053419
AP026	0	19.21472902	101.471861	452.662539	213.1774875	85.64282676	4.501683283	5.191336797	24.93500789	0.025510773	0	0.384819028	76.5910567	0.20506849	0.760356055	0.361396084	0	0	14.8743216			0	2.649131308	2.79038587	46.69101706	20.70109338	7.238018415	0.088192875	0.345406301	9.979539966	0	0	0	0.109076277	8.30942657	0.006413929	0.063729043	0.036087829	0	0.992481175	7.091218569	0	2.938076214	4.912831325	0	0.060286834	2.935189361	0.553404999	0	4.199228434	7.084490916	0	0	55.65913339	0.015724747	3.579997809	2.160659981	4.963396513	0	0.268620682	0	0.695337205	2.032113956	0	0.85028907
AP034	0	47.06341005	68.66602012	215.7853219	497.3051138	86.06448429	3.426942039	15.41661821	20.64824539	0	2.914695664	3.783758161	22.82331589	0	6.046262485	0	0	0	10.05581197			0	3.780888922	3.425686305	23.36729994	51.72811994	7.149893692	0.370686251	1.127279182	5.063977199	0	0	0.465729237	1.068037766	1.5698709	0.210461111	0.298140188	0.028226172	0	0.345703196	6.711307101	0	1.315359048	4.582764717	0	0.038190141	2.61968563	0.482198627	0	11.01432243	6.844804013	0	0	44.49445402	0.164687204	6.849060203	1.714772813	4.17805674	0	0.092522357	0	0.456231631	6.790971017	0	1.65061231
AP035	0	55.4969491	30.40307358	155.5695372	668.70013	13.00113722	2.538738938	11.50745316	34.64628829	0	0	0.536651625	7.485544018	0	0.086116219	0	0	0	20.02838065			0	8.275600466	0.523444963	13.19724238	68.04980229	1.353817796	0	0.068811275	6.482600536	0	0	0	0.237646323	0.445921982	0.154030847	0.040457742	0	0	1.170623398	4.613608517	0.085139452	1.270832634	4.170126477	0	0.083318009	4.231137987	0.434724829	0	4.220368846	10.11465351	0.042757276	0.003045783	54.26435534	0	5.231717403	1.519451637	2.634311749	0	0.30709623	0.13915046	1.439480593	4.507950266	0	0.686773
AP038	0	101.0954244	47.76171306	225.5481012	455.0259816	23.48435447	0.600987231	21.21763721	49.34116541	0.468856839	0	0	52.75307634	0	2.660805111	2.682681643	0	0	17.35921545			0	11.9124376	2.632895201	24.38800255	44.63652437	1.934758817	1.546116008	3.3463745	4.715322538	0	0	0	0	2.814249775	0.629240973	0.110141767	0	0	1.333935898	6.045057856	0.013192909	0.629181361	1.220576288	0	0.093944952	4.351048237	0.362756317	0	10.80837948	4.567492802	0	0.111059019	60.90610407	0	3.045656234	1.744550526	2.53970157	0	0.041096555	0	1.841881353	1.464622159	0	0.213698304
AP043	0	109.4883388	79.77898531	194.7651435	459.6476591	11.5946737	0.292773735	16.54779836	44.05714003	13.59785433	0	7.63293426	36.21930152	0	7.056832114	0.096791098	0	0	19.22377422			0	10.24628323	0.670259199	28.60552162	48.16046734	1.09196205	0	2.21209057	2.858755527	0	1.01057805	0	1.363891001	3.112003392	0	0	0	0	0.668188026	12.68143557	0	2.710926437	2.550274633	0	0.008538449	7.284140693	0.322139968	0	3.24806516	8.501065691	0	0	47.44551938	0	3.427602522	1.708740568	4.270796128	0	0.160494787	0	1.76972046	3.621634155	0	0.288905396
AP046	0	115.5313114	56.12238447	346.3659432	332.4625357	26.30724807	0	17.84436048	38.21679172	2.494403419	0	0	47.86028201	0	0.837780875	0	0	0	15.95695867			0	16.59888591	0.958754439	35.95468609	30.0582648	1.632313812	0.410004488	1.77618611	8.127072363	0	0	0	0.242028885	3.981687449	0	0.122365878	0	0	0.137749782	4.506329586	0.196118534	0.434129997	0.528381666	0	0.141063299	4.671762603	0.181215358	0	11.45628924	4.908576242	0.003392454	0	64.17059579	0	2.816605282	2.1507931	2.296856234	0	0.015318329	0	0.255591488	1.024647272	0	0.242333527
AP047	0	72.57384538	74.65064924	350.9574935	325.7564461	13.53970576	0	7.974303291	42.0123229	0	0	3.224751212	88.23438525	0	9.067341249	0	0	0	12.00875617			0	15.43516446	2.927929875	38.42159347	30.78031739	1.570965218	0	0.574711713	5.167467155	0	0	0	0	3.467327158	0.446917552	0.920746348	0	0	0.286859662	5.406149229	0	0.022045065	0.705219504	0	0.067513527	3.929192468	0.074424703	0	7.121904302	11.89191531	0	0	58.97123543	0	5.045859073	1.309904801	1.976695549	0	0.016875288	0	2.313705152	1.023649449	0	0.123711141
