FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%Bergbaubetrieb	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaeche	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Wald	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	Flieﬂgewaesserdis	Hafenbeckendis	stehende_Gewaesserdis
IS361	0	0	0	0	0	0	0	0	0	6.586743083	0	20.06318359	23.45024823	49.8998251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.92983683	10.75416039	10.18387883	42.88556952	0	0	0	22.24655442	0	0	3.715752262	6.079731596	0	0	3.551420656	8.421131297	0	27.2024683	0.980635913	0	6.17105218	0	0	7.245752305	7.396436483	2.694925509	9.967846912	0	0.643070851	0	0	15.92977573	0	0
IS455	0	0	0	0	0	0	0	0	0	0.900674338	0	0	0	99.09932566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091911463	0	0	0.071843108	99.83624543	0	0	0	0	0	0	0.177626727	0.599537918	0.079301971	0	0.712954202	0.323998795	0.085649328	1.039562701	3.47692294	0	15.53556532	1.328949113	0	9.613164097	56.54197052	1.381113807	1.38249602	0	0.214261305	0	0.081662299	7.348800859	0	0.07646208
IS173	0	0	0	0	0	0	0	0	0	2.127613969	4.621398045	0	1.983352434	90.66001883	0	0	0.607616727	0	0	0	0	0	0	0	0	0	0	0	1.831104453	9.805688026	0	6.266435125	80.49442087	0	0	1.60235153	0	0	0	2.824030613	1.704993016	0.757257363	0	2.60970506	3.264593692	0	15.71274976	3.751792114	0	37.40522681	5.36722544	0	9.632178121	7.847428497	0.9977115	6.089452647	0	0.265349938	0	0.357314783	0.767038921	0	0.645951722
IS168	0	0	0	0	0	0	0	0	0	3.497627265	2.154207553	0	0.097860504	93.41358807	0	0	0.836716611	0	0	0	0	0	0	0	0	0	0	0	2.444001592	5.649382406	0	0.097053467	91.46880398	0	0	0.340758554	0	0	0	0.098061633	1.249725403	0.025599597	0	0.607952996	0.794374916	1.290466199	2.7707963	2.536339633	0	56.33180747	6.808364669	0	2.77681997	17.42172241	1.356940021	4.06642433	0	0.027949124	0	0	1.100724367	0	0.735930959
IN005	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.920092206	0	10.89396354	0	0	0.025291149	7.695524312	1.69214214	0	0	0	0	0	70.77298665	0	0
IS158	0	0	0	0	0	0	0	0	0	6.663394541	0	0	0	93.33660546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.626641405	0	0	0	93.37335859	0	0	0	0	0	0	8.42505E-05	0.770666576	0	0	0.522507477	0.168103382	0.142358893	2.187437422	2.331512853	0	37.53779321	2.094435221	0	1.91128772	47.51669255	1.35474306	1.111638606	0	0.007700035	0	0.105620338	1.902444804	0	0.334973606
IS083	0	0	0	0	0	0	0	0	0	34.83503333	1.268695562	0	13.57444168	50.3217801	0	0	4.93335E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.02390611	76.97609389	0	0	0	0	0	0	0.32334326	0.863366983	0	0	1.79097939	5.896334085	0	3.392829857	0.719332226	0	18.31020132	0	0.003381753	15.22744619	27.12466921	2.031828088	2.468971892	0	0.193227381	0	0.101010018	20.41767775	0	1.135400589
IS137	0	0	0	0	0	0	0.471058594	0	0	0.562520882	0.248212078	0	1.710948596	97.00725985	0	0	0	0	0	0	0	0	0	0	0	0.053939491	0	0	0.249855842	1.869854289	0	1.336097007	96.13541516	0	0.330894393	0.023943814	0	0	0	0.011683735	1.146831814	0	0	0.353710829	1.15972118	0.010296756	1.275728899	5.629664895	0	51.94499497	3.565571904	0.080458622	9.89144059	20.03232676	0.922303969	1.056739552	0	0.016312922	0	0	1.610773366	0	1.291439236
IS187	0	0	0.441324643	3.051025911	5.865066942	0	0	0.085831959	0	1.376022392	3.741405944	16.64187736	41.19364796	9.020449902	1.094593007	1.584723881	0.856692521	15.04733759	0	0	0	0.605326434	1.375271522	13.12408725	0	1.832182546	0	0	0.002001151	7.387947363	1.331542873	46.22063388	9.44448472	0	1.193546937	0.292036564	17.19093876	0	0	0.111892343	2.25780487	0	0	1.886201622	0.458259991	0	0.221406861	4.623134844	0	56.61356563	0	0	2.936461756	18.18525443	2.323465191	5.226671655	0	0.743256095	0.005556184	1.291477739	2.732080148	0	0.383510641
IS204	0	0	0	0	5.989826589	0.200865952	0.905493937	0.712799439	0	5.243157972	1.496538148	8.177743245	41.84478244	30.1338671	2.959449507	0.050836565	0.370372125	1.91426699	0	0	0	0	0	1.241528507	0.425711305	0.62303713	0	0	2.720871405	14.19164061	5.205273461	27.9163893	32.32919429	2.058868574	0	0.626580327	12.66090509	0	0	2.120034064	3.393459472	0.033680797	0	3.418823259	7.404007942	0	16.89863388	5.166052943	0	28.91584121	0.126567164	0	8.311223423	12.58090885	1.172339023	6.323166801	0	0.710219029	0.092446457	2.101197175	0.705057605	0	0.526340904
IS225	0	0.091551454	0	0	0	0	0	0.202463433	0	1.460979014	0.480381123	0	0	97.4244856	0	0	0.34013938	0	0	0	0.068862393	0	0	0	0	0	0.0841288	0	0	3.514665222	0	0.085768092	94.83959987	0	0	1.406975621	0	0	0	0.057251457	1.174765464	0.016451154	0	0.528216747	0.311876209	0	3.025158464	1.924091413	0	48.06493849	0.989133093	0.005481566	1.900083623	36.2915393	1.248303124	1.044728014	0	0	0	0	3.123159063	0	0.294822824
IS235	0	0.629236952	0	0.07050016	0	0	0.005200844	0	0	1.164399213	2.770582234	0.06544911	7.576772357	86.53162741	0.01194089	0	1.174290832	0	0	0	0.606385779	0	0	0	0	0.005196146	0	0	0.083651303	7.127227054	0	6.166680054	84.82619026	0	0	1.184669401	0	0	0	1.031455134	4.895080399	0.046374212	0	4.847943637	0.862762796	0.032587866	10.16492711	2.218135171	0	49.08150745	0.182711167	0.182001911	3.707945656	14.27822102	1.351574929	4.037258337	0	0.235486631	0	0.931605391	1.421884442	0	0.490536752
