FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Graeser	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
RE082	0	0	0	0	1.902626316	0	0	0	0	1.411510982	5.091642101	6.306941408	27.62937606	44.85529409	0	0	12.80260904	0	0	0	0	0	0	1.864240122	0	0	0	0	4.073685272	23.24544599	5.366035362	21.80892883	36.24013118	0	0	7.401533249	0	0	5.840952494	0	1.133862415	1.505193015	0	0.042529805	7.591449141	0.046519922	0	15.20230245	11.78871727	0	0	43.6305194	0	3.65879507	1.825761228	5.646147836	0	0.015795042	0	0	0.795880242	0	1.275574666
RE158	0	0.030278296	0	0	2.232949222	0.036867112	0.014202225	0	0.723885481	0.387389333	5.80019315	3.519691956	30.29199332	53.81917023	0.172653288	0.495179515	2.475546872	0	0	0	0.047885367	0	0	2.629102992	0.181947745	0.223923047	0	0.710112416	0.120679206	12.05220394	0.713118399	26.68068389	52.41838945	0.299439416	0.144651783	2.834866771	0.919232518	0.023763065	2.787964482	0	0.686445073	1.232313108	0	0.031765627	4.281596106	0.324054622	0	10.28386267	7.250710748	0.073821752	0.008730059	62.29388117	0	2.600553203	1.904581679	3.838339458	0	0.057872341	0	0.262929682	1.423003486	0	0.657574741
RE094	0	0.155818208	0.859797504	0	4.839437745	0.300993752	0.179692326	0.257045428	0	1.318656169	7.775449266	5.220957214	29.17753234	44.08844305	1.916234709	0.243507525	2.006054909	1.660379852	0	0	0	0	0.12145006	6.837225584	0.341963984	0.496689902	0.043050163	0.130418765	0.282922737	8.39692879	2.004350925	25.40795421	49.67422706	0.503564815	0.358368349	3.650339117	1.671322783	0.079222751	9.951590734	0	1.634058789	2.026657337	0	0.487157386	3.653268183	0.453066133	0	21.33246264	4.943458831	0	0	39.25120961	0.002217068	6.034612204	2.11274742	5.578181553	0.099025917	0.026574974	0	1.013939981	0.488088634	0	0.911682608
RE115	0	0.094897718	0	0	1.699943533	0.171405835	0	0.469446727	0	0.456190273	6.946423968	5.970551678	25.07820791	57.64575442	0.128233079	0	1.338944861	0	0	0	0	0	0	0.443856965	0.17373286	0	0	0	0.213890168	3.083234819	5.86793122	22.14213128	60.23921007	0.011089732	0	1.718527279	6.106395613	0	9.056065553	0	3.558276605	4.244479976	0	0.179511841	2.258818472	0.825407784	0	11.66361206	6.738436791	0	0	39.27429381	0	6.76307671	1.983036059	6.474709549	0	0.43442124	0	0.737013867	0.091097566	0	5.717742112
RE168	0	0.246770373	0	5.776500484	1.003731081	0.054902942	0.325483037	0.351677328	0	7.189384169	4.349681248	2.303956617	30.84368032	40.99000884	4.798800808	1.201749309	0.563673442	0	0	0	0.305241963	0	8.475897751	2.830548082	0	0.725926822	0.354619083	0	0.947299402	5.028454048	0.904804077	29.88953224	44.92408672	2.819797332	1.539859003	0.132596303	0.602839789	0.518497386	0.226976718	0	0.738989166	0.214809291	0	0	0.217374391	0	0	70.9729907	3.889552341	0	0	15.50320763	0	2.253357962	2.022809702	2.321809794	0	0.01703394	0	0.098732876	0.300379665	0	1.221975825
RE225	0	0.013542152	0	0	1.03931715	0	0.145163622	0	0	1.329654058	3.63365911	2.641876187	17.63127598	70.23421342	0.031045834	0.051020959	3.249231533	0	0	0	0.003219962	0	0	0.571603888	0.021455585	0.146261704	0	0	0.793492726	5.088275186	2.13182016	18.05372769	70.65013855	0.058778162	0.077489985	2.232863679	0.145568455	0.025304265	2.35460066	0	0.680618232	0.534938437	0	0.018854652	2.250402673	0.253506859	0	29.56272067	8.072404741	0	0.00311427	44.32090964	0.200614625	4.629313434	1.658761524	3.792994162	0	0.159327782	0.006239907	0	0.293769167	0	1.206908566
RE250	0	0.017599413	0	0.001230223	5.091422514	0	0.035261047	0	0.046483868	0.878662686	9.485816045	4.307184427	52.44269021	24.71462425	1.265986813	0.510908476	1.202130029	0	0	0	0.022335032	0	0	2.096837513	0	0.167957678	0	0.023884226	0.461330914	14.81257943	1.659286697	52.78023911	22.06563024	1.349961481	1.057063507	1.300667152	2.188190741	0.014036282	0.785194663	0.371930565	0.266359101	1.1181368	0	0.041467011	2.975142435	0.504851532	0	8.988150825	6.312282267	0.009148233	0	69.13993271	0.002360694	1.972640324	2.293187127	3.124435938	0	0.019552329	0.393307216	0.53836054	0.511040405	0	0.632519284
RE298	0	0.045961251	0	0.004849682	5.183866785	0.180465338	0.197887473	0.006093693	1.082402205	1.260284707	6.277690398	5.576375377	26.30746442	51.08922687	0.230691064	0.925446909	1.563852374	0.063898133	0.003543317	0	0.003768271	0	0.09217017	4.781310672	0.167856617	0.33699366	0.021505341	2.391383301	0.489453864	6.955032877	2.76140325	28.12001188	50.31374454	0.166491746	0.850120873	1.71578911	0.668891772	0.164072058	4.350620807	0.097255188	0.857328745	1.869467619	0	0.079255481	3.335039839	0.470154923	0	9.163504581	12.10754489	0.043309264	0.06340127	52.83522437	0.020679777	4.863201934	2.048678196	4.354566899	0	0.065952135	0	0.019129036	2.157584172	0	1.198100877
RE006	0	0	0.747667485	0	0.408651879	0	0.279531772	0.106454467	0.080975074	1.590734225	7.543268683	2.900345128	15.01945635	69.0605765	0.948480192	0.052802878	1.06634568	0.194709689	0	0	0.232815288	0.551806894	0.187577821	0.02072166	0.298371757	0.046654243	0.132735935	0.079214261	0.087157329	11.14993923	0.742298614	12.12107704	71.21772142	0.658767255	0.358764128	1.582612464	0.520377237	0.011387428	4.782504764	1.160054364	2.250636454	4.265351354	0	0.093966753	4.592388681	0.965695772	0	7.843064171	8.984115658	0	0.000357996	51.28106821	0	2.081517652	1.543392772	5.284998515	0	0.426420248	0	0.773183148	0.484077015	0	3.187206476
RE068	0	0	0	0	0.157011354	0	0.039923207	0.039894733	0	0.529845756	9.702400752	7.655718863	25.90897755	49.3811447	4.393853703	0.844692502	1.340578799	0.00595808	0	0	0.226753623	0	0	0.1572115	0	0.518451274	0.040049112	0	0.179741124	17.52252902	1.663678394	24.57784399	50.64575576	0.90479922	0.985804608	2.571321891	0.006060483	0	3.522303482	0	0.451407755	0.603184785	0	0.0592941	3.137910242	0.064343004	0	38.3608451	9.163046056	0	0.219206712	32.930667	0	2.752854003	1.933037086	3.16834471	0	0.029169289	0	0.173506119	2.128938357	0	1.3019422
