FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Weindis	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
NR146	0	5.651399765	1.265363253	13.6620583	66.32262532	0	0	2.925122689	0	0	0	0	0	9.731850442	0	0	0	0.145216393	0.296363837	0	0	14.24157676	0	25.60263894	48.71331994	0	0	4.161120975	0.781792922	0	0	0	6.35239728	0	0	0	0.147153186	0	6.685076373	0	1.959789077	0.773529146	0	0	1.500493952	0.360894528	0	41.36201524	3.630970848	0	21.51556086	0	0	6.570861771	2.613898049	4.895964825	0	0.012311322	0	0	0.748019428	0	7.370614574
NR162	0	6.402297238	0.71766702	36.31618396	44.08411188	2.747332765	0	4.59048198	0	0	0	0	0	4.376346478	0	0	0	0.678576199	0.087002486	0	0	7.964444863	0.17208118	33.59743692	41.92404343	0.230188319	0.510778762	7.370868682	1.06758333	0	0	0	2.038509741	0	0	0	0.112979772	5.011084998	4.340509637	0	0.762331098	1.480334954	0	0	2.457765296	0.72683881	0	24.32469842	5.144171563	0	48.42865878	0	0	4.413051557	1.704798583	3.461271972	0	0.075213205	0	0	1.559974234	0	1.120381892
NR163	0	5.73591786	1.61949186	14.99275656	65.77886664	0.513955039	0.112864167	5.92514948	0	0	0	0	0.242088992	0.120626571	0	0.258825275	0	3.773035277	0.926422274	0	0	7.281603531	0.165760663	18.28602516	65.83628309	0	0	4.057293965	0	0	0	0	3.81024E-05	0	0.496847463	0	3.686647458	0.189500574	2.909000473	0	0.214346368	1.01908051	0	0	4.058952984	0.143443237	0	23.50599435	4.769203639	0.000530969	45.35146249	0	0	7.705266381	1.797596952	3.756175552	0	0.053339796	0	0	2.308800281	0	2.406806017
NR193	0	24.64296151	4.991182662	36.96473087	22.38428892	1.170944576	0	1.800615288	0.120500656	0	0	0	0	1.190663037	0	0	0	6.597220194	0.136892292	0	1.157341953	25.36607032	1.224475001	37.66848741	20.65978893	1.678520577	0	0.482074011	4.990023644	0	0	0.200053574	0	0	0	0	6.406911893	0.166252687	3.148421572	0.466918097	0.410784602	3.697209153	0.001090564	0.040553197	1.313455617	0.146856034	0	27.21703957	4.710510147	0	35.24745843	0	0	7.985451493	1.856528778	4.383629988	0	0.024854128	0	0.338605483	8.235422512	0	0.775210632
NR196	0	4.681643223	1.455973936	2.793427786	28.99770818	0	0	0	11.30764524	0	0	0	0	0	0	0	0	50.76360164	0	0	0	17.65544254	0	0	29.15661193	0	0	0	0	0	0	0	3.255925132	0	0	0	49.9320204	0	4.667333226	0	1.386062686	1.405851156	0	0	0.545102851	0.559341687	0	51.04565152	1.191191599	0	19.98120492	0	0	1.916172261	1.735567523	7.321368772	0	0.167605782	0	0.544750729	6.549517164	0	0.983278122
NR199	0	6.503040797	6.689749155	34.49011579	41.50931906	0.077788337	0.390643421	2.149011479	0	0	0	0	0	7.455668787	0.171598256	0.016886415	0	0.123190626	0.422987877	0	0.303278776	7.667983794	1.447581038	32.58660036	44.10178827	0.062256734	1.176277077	4.04067881	0.0922831	0	0	0	8.105152473	0	0.189176928	0	0	0.226942643	8.859091939	0.005268129	4.717746499	3.918865776	0	0.045402284	4.962681449	1.214959662	0	11.88243126	6.789877984	0	31.09033076	0.057564302	0	9.553226414	2.094351163	7.860629735	0	0.548224476	0	0.604132845	0.528446417	0	5.266768907
NR204	0	11.49238721	5.679576842	18.74972695	47.42040578	0	1.626751831	6.456605342	0	0	0.128518265	0	0	6.240382089	0	0	0	0	2.205645689	0	0	11.45763046	0.922508632	29.33908439	50.92574466	0	0	4.295226448	0	0.134144131	0	0	1.695846762	0	0.946794214	0	0	0.2830203	4.110489031	0	0.579506883	0.915972045	0	0.032752217	2.175045102	0.438784951	0	33.39152648	1.627970383	0	39.35626292	0	0	4.647921082	1.325188075	5.705193994	0	0.280879803	0	0	0	0	5.412507033
NR220	0	5.140621639	5.292766384	28.02858984	46.14766962	0.007833066	0.348166853	9.300789366	0	0	0.014321536	0	0	2.873700245	0.056268731	0.202120382	0	0	2.587152338	0	0	4.756511618	4.477894161	26.29334534	47.98821243	0.021048026	0.538571722	9.731580561	0.386063825	0.007585599	0	0	5.216866457	0	0.31248758	0	0	0.269832686	3.60634323	0.015852564	0.677508207	0.727676962	0	0.089569761	3.297260232	0.509780284	0	27.49625745	4.999253386	0.071792356	39.9560621	0	0	9.690593693	2.467274989	3.999063236	0	0.07494751	0	0	0.267997467	0	2.052766568
NR205	0	5.517418627	5.539867171	34.30435237	42.7048425	0	0.748386049	3.791170877	0	0	0	0	0	1.69525675	0.337854531	0.095767193	0	4.638360227	0.6267237	0	0	10.48373614	3.328466366	32.77830101	41.0173293	0.143842136	0.238475713	2.698477945	0.180311319	0	0	0.039224887	4.048781408	0	0.059692477	0	2.083837629	2.899523674	2.199124535	0.137632733	0.435201642	0.565996062	0	0.045637258	2.664919402	2.382854058	0	26.72697545	6.102232853	0	34.9212901	0.080458307	0.353121006	13.46201303	1.839480259	2.440431446	0	0.047073831	0.001307101	0.224371428	4.547416584	0	0.822462919
NR213	0	9.05690603	6.267384118	30.58492806	44.85749104	0	0	5.424429736	0.046039501	0	0	0	0	1.636497559	0	0	0	0	2.126323957	0	0.567936821	12.91316321	2.163137575	27.51402529	43.93242551	0	1.102925173	6.034789025	0	0	0	0	4.481367368	0	0.332354786	0	0	0.95787525	12.88126311	0	3.116251161	8.487166381	0	0.119010755	4.112335797	1.811260834	0	9.296889032	2.039014488	0	40.69380336	0	0	4.910729369	1.560356957	6.501235069	0	0.538522597	0	2.310228367	0.390247037	0	1.231685685
